"","foldNumber","CVtrain.R2","train.inter","train.slope","N.train","corre.train","rmse.train","mae.train","CVtest.R2","test.inter","test.slope","N.test","corre.test","rmse.test","mae.test"
"1",1,0.947537283492742,0.00570478065267278,0.943720258918625,1158867,0.973423233328033,0.0444740546584358,0.0193821556209016,0.946684723966104,0.00570478065267278,0.943720258918625,128763,0.97298892522193,0.0449249854789459,0.0194923397324451
"2",2,0.947423179339183,0.00571653067221328,0.943637545321889,1158867,0.973364490385471,0.0445323924932981,0.0194099083583624,0.947827714642897,0.00561631132252662,0.943057345393894,128763,0.973577045048011,0.0443511126453257,0.0192674211364986
"3",3,0.94746154929141,0.00571547730478897,0.943409327978782,1158867,0.973385347933172,0.0445426089223326,0.019403147362275,0.947203572041022,0.00574836033254086,0.943908282645,128763,0.973250011082484,0.0443756667129523,0.0193699648227777
"4",4,0.947458085650081,0.00570581472092045,0.943560096253852,1158867,0.973382892631905,0.0445010146138891,0.0193867888601987,0.947601038801033,0.00572549668607201,0.94363181944095,128763,0.973456628667496,0.0445962910474162,0.0194469955041952
"5",5,0.947484702222315,0.00570755138839401,0.943416022351893,1158867,0.973397315087652,0.0445184476527555,0.0193881384768406,0.946929595331633,0.00574906052182942,0.944544075447065,128763,0.973106502495761,0.0446216764929653,0.0194330832694095
"6",6,0.947441959878336,0.0057044804826739,0.943341495703819,1158867,0.973375508826814,0.0445267950648451,0.0193972060860511,0.947529402948617,0.00580515048112943,0.944933559177051,128763,0.973415716233655,0.04445679875063,0.0194114095572245
"7",7,0.947540837540668,0.00571589838522406,0.943680065809302,1158867,0.973425244157929,0.0444884996529074,0.0193893569187161,0.946534253367555,0.00567202841181814,0.942179642949615,128763,0.972910661979301,0.0448435398984617,0.0194400141200302
"8",8,0.947363888451278,0.00571189225724419,0.943563069019472,1158867,0.973334097177341,0.0445254307959913,0.0193799801504018,0.94822448199826,0.0057285931409794,0.943041193976724,128763,0.973783063105779,0.0444664575403059,0.0195452225042517
"9",9,0.947454500910247,0.00572214809209489,0.94338045866127,1158867,0.973381822218873,0.0445195933339472,0.0194072730832362,0.947269313088335,0.00561384678477845,0.944900173967264,128763,0.973280698659951,0.0445839045545504,0.019313800104391
"10",10,0.947425517503602,0.00571366300338864,0.943582995706332,1158867,0.973365928424713,0.0445332212914952,0.0193947663208975,0.947476439462664,0.0057513593026977,0.942471498451774,128763,0.97339779648381,0.0444840922404231,0.0194344589439462
